Term,Opening,Closing,,,
1,2016-01-04,2016-04-08,,,*year/month/day
2,2016-05-02,2016-08-05,,,https://www.standardmedia.co.ke/article/2000181775/government-announces-2016-term-dates-for-schools-colleges
3,2016-09-05,2016-11-18,,,
